time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-20 00:00:00+00:00,1,1,40,11
2025-01-21 00:00:00+00:00,1,1,22,4
2025-01-22 00:00:00+00:00,2,1,18,9
2025-01-23 00:00:00+00:00,2,1,25,11
2025-01-24 00:00:00+00:00,3,2,14,8
2025-01-25 00:00:00+00:00,1,1,11,7
2025-01-26 00:00:00+00:00,1,1,10,7
2025-01-27 00:00:00+00:00,1,1,9,7
2025-01-28 00:00:00+00:00,3,1,18,10
2025-01-29 00:00:00+00:00,2,2,23,10
2025-01-30 00:00:00+00:00,2,2,10,8
2025-01-31 00:00:00+00:00,9,4,47,10
2025-02-01 00:00:00+00:00,9,5,10,6
2025-02-02 00:00:00+00:00,1,1,5,5
