time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-17 00:00:00+00:00,8,4,12,6
2025-12-18 00:00:00+00:00,15,8,11,10
2025-12-19 00:00:00+00:00,11,6,8,7
2025-12-20 00:00:00+00:00,108,14,3,3
2025-12-21 00:00:00+00:00,7,5,6,4
2025-12-22 00:00:00+00:00,16,5,16,8
2025-12-23 00:00:00+00:00,32,16,9,6
2025-12-24 00:00:00+00:00,9,5,6,6
2025-12-25 00:00:00+00:00,15,7,7,5
2025-12-26 00:00:00+00:00,9,3,6,4
2025-12-27 00:00:00+00:00,9,3,6,5
2025-12-28 00:00:00+00:00,21,4,4,4
2025-12-29 00:00:00+00:00,7,3,6,6
2025-12-30 00:00:00+00:00,16,8,11,7
