time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-30 00:00:00+00:00,16,5,17,11
2025-07-01 00:00:00+00:00,13,7,7,6
2025-07-02 00:00:00+00:00,14,8,31,9
2025-07-03 00:00:00+00:00,20,9,38,15
2025-07-04 00:00:00+00:00,13,7,18,10
2025-07-05 00:00:00+00:00,9,3,22,5
2025-07-06 00:00:00+00:00,8,2,1,1
2025-07-07 00:00:00+00:00,18,11,29,11
2025-07-08 00:00:00+00:00,11,5,41,11
2025-07-09 00:00:00+00:00,11,5,20,8
2025-07-10 00:00:00+00:00,13,6,18,12
2025-07-11 00:00:00+00:00,9,3,14,9
2025-07-12 00:00:00+00:00,12,5,1,1
2025-07-13 00:00:00+00:00,1,1,4,4
