time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-06 00:00:00+00:00,5,5,4,4
2026-08-07 00:00:00+00:00,16,7,6,2
2026-08-08 00:00:00+00:00,21,12,5,3
2026-08-09 00:00:00+00:00,3,3,1,1
2026-08-10 00:00:00+00:00,11,9,6,4
2026-08-11 00:00:00+00:00,25,19,12,7
2026-08-12 00:00:00+00:00,18,10,19,10
2026-08-13 00:00:00+00:00,18,12,19,8
2026-08-14 00:00:00+00:00,11,11,6,2
2026-08-15 00:00:00+00:00,6,4,2,1
2026-08-16 00:00:00+00:00,8,8,6,3
2026-08-17 00:00:00+00:00,4,4,4,3
2026-08-18 00:00:00+00:00,2,2,5,3
2026-08-19 00:00:00+00:00,26,16,4,3
