time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-15 00:00:00+00:00,1,1,9,7
2025-02-16 00:00:00+00:00,1,1,5,3
2025-02-17 00:00:00+00:00,5,2,14,8
2025-02-18 00:00:00+00:00,6,3,13,10
2025-02-19 00:00:00+00:00,15,7,76,17
2025-02-20 00:00:00+00:00,1,1,32,14
2025-02-21 00:00:00+00:00,10,4,54,12
2025-02-22 00:00:00+00:00,5,3,5,4
2025-02-23 00:00:00+00:00,1,1,12,9
2025-02-24 00:00:00+00:00,6,3,35,12
2025-02-25 00:00:00+00:00,4,3,33,12
2025-02-26 00:00:00+00:00,7,4,20,14
2025-02-27 00:00:00+00:00,7,3,41,19
2025-02-28 00:00:00+00:00,1,1,44,11
