time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-24 00:00:00+00:00,5,1,13,9
2025-09-25 00:00:00+00:00,5,5,52,17
2025-09-26 00:00:00+00:00,4,4,9,9
2025-09-27 00:00:00+00:00,11,3,3,3
2025-09-28 00:00:00+00:00,7,6,6,5
2025-09-29 00:00:00+00:00,7,7,25,10
2025-09-30 00:00:00+00:00,14,4,26,16
2025-10-01 00:00:00+00:00,6,6,54,17
2025-10-02 00:00:00+00:00,12,7,33,18
2025-10-03 00:00:00+00:00,7,7,24,12
2025-10-04 00:00:00+00:00,2,2,11,7
2025-10-05 00:00:00+00:00,15,10,15,4
2025-10-06 00:00:00+00:00,5,4,21,8
2025-10-07 00:00:00+00:00,5,3,32,16
