time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-24 00:00:00+00:00,9,5,6,6
2025-12-25 00:00:00+00:00,15,7,7,5
2025-12-26 00:00:00+00:00,9,3,6,4
2025-12-27 00:00:00+00:00,9,3,6,5
2025-12-28 00:00:00+00:00,21,4,4,4
2025-12-29 00:00:00+00:00,7,3,6,6
2025-12-30 00:00:00+00:00,16,8,11,7
2025-12-31 00:00:00+00:00,3,3,3,3
2026-01-01 00:00:00+00:00,10,6,3,3
2026-01-02 00:00:00+00:00,16,15,19,4
2026-01-03 00:00:00+00:00,17,5,5,5
2026-01-04 00:00:00+00:00,19,11,3,3
2026-01-05 00:00:00+00:00,12,4,7,7
2026-01-06 00:00:00+00:00,8,5,13,10
