time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-19 00:00:00+00:00,10,5,19,6
2026-01-20 00:00:00+00:00,11,6,17,14
2026-01-21 00:00:00+00:00,28,11,29,15
2026-01-22 00:00:00+00:00,14,8,13,8
2026-01-23 00:00:00+00:00,7,3,10,4
2026-01-24 00:00:00+00:00,22,8,4,3
2026-01-25 00:00:00+00:00,11,6,41,10
2026-01-26 00:00:00+00:00,32,13,21,11
2026-01-27 00:00:00+00:00,19,13,22,11
2026-01-28 00:00:00+00:00,9,7,18,11
2026-01-29 00:00:00+00:00,14,9,22,11
2026-01-30 00:00:00+00:00,13,8,15,9
2026-01-31 00:00:00+00:00,12,7,7,4
2026-02-01 00:00:00+00:00,13,8,4,3
